Name,Location
가피사,경기도 양주군 양주읍 광사리 7-7
각성사,서울시 성북구 정릉3동 640-28
각원사,경기도 수원시 송죽동 391-20
감로사,충청북도 옥천군 군북면 환산로 1170
감로사,전라남도 곡성군 고달면 두가리 596
감로사,경기도 안성시 대덕면 건지리 287-2
감로선원,경남 남해군 남해읍 평리 254-1
감마지선원,서울시 노원구 상계4동 152-1
강천사,충남 아산시 염치읍 강청리 산 42-8
강청사,충남 아산시 염치읍 강청리 산 42-8
개명사,충북 옥천군 청성면 화성리 164번지
개운사,경기도 파주시 법원읍 보광로 1999-58 (가야리 323)
건불사,경남 합천군 쌍책면 건태리 738-2
검단정사,경기도 광주시 남종면 이석리 183
견불사,경남 함양군 휴천면 송전리 1104-1번지
견성암,경남 산청군 삼장면 홍계리 상촌 1319번지
경일사,서울시 관악구 남현동 497번지
계태사,경기도 수원시 권선구 탑동 514-11
계태사,강원도 속초시 노학동 627-3번지
고남사,충북 청원군 현도면 우록1리
고남사,충북 청원군 현도면 우록1리 23-1
고령사,충남 천안시 동남구 광덕면 원덕리 산60번지
고암사,충북 제천시 봉양읍 원박리 산 179
공명원,서울시 성북구 보문1가 110번지
공정암,경기도 용인시 모현면 진부리 575-4
관룡사,부산시 북구 구포동 397-4
관명사,경기도 가평군 설악면 가일리 19번지
관불사,충남 천안시 동남구 북면 낙안리 149-7
관불사,부산시 금정구 장전1동 130-19
관불사,충남 천안시 북면 납안리 149-7
관불사,부산시 진구 부암1동 산16-12
관불사,부산시 사상구 모라 산31 주공@ 301동217호
관불사,부산시 금정구 구서1동 471-8
관음경덕사,경북 경주시 산내면 우라2리 석두산
관음사,경상남도 산청군 신등면 신등가회로375번길 25-8
관음사,부산광역시 동래구 중앙대로1267번길 127
관음사,부산시 영도구 청학2동 179-2
관음사,서울시 영등포구 신길2동 165-33 (8/4)
관음사,충남 보령시 청라면 옥계리 산 6
관음사,부산시 해운대구 재송동 1050-21
관음사,부산시 금정구 청룡동 42-8
관음사,부산시 금정구 구서동 175-32
